"Location","Phase","Cheese","Charm","Attraction Rate","Mouse","Sample Size"
"Fort Rox","Day","Gouda","-","29.75%","Mischievous Meteorite Miner",63719
"Fort Rox","Day","Gouda","-","29.73%","Meteorite Miner",63719
"Fort Rox","Day","Gouda","-","17.58%","Hardworking Hauler",63719
"Fort Rox","Day","Gouda","-","11.96%","Meteorite Snacker",63719
"Fort Rox","Day","Gouda","-","5.95%","Meteorite Mover",63719
"Fort Rox","Day","Gouda","-","5.03%","Mining Materials Manager",63719
"Fort Rox","Day","Brie","-","29.95%","Mischievous Meteorite Miner",9266
"Fort Rox","Day","Brie","-","28.85%","Meteorite Miner",9266
"Fort Rox","Day","Brie","-","18.63%","Hardworking Hauler",9266
"Fort Rox","Day","Brie","-","11.85%","Meteorite Snacker",9266
"Fort Rox","Day","Brie","-","5.82%","Meteorite Mover",9266
"Fort Rox","Day","Brie","-","4.91%","Mining Materials Manager",9266
"Fort Rox","Day","SB+","-","24.01%","Mischievous Meteorite Miner",3619
"Fort Rox","Day","SB+","-","23.49%","Meteorite Miner",3619
"Fort Rox","Day","SB+","-","17.21%","Hardworking Hauler",3619
"Fort Rox","Day","SB+","-","17.05%","Mining Materials Manager",3619
"Fort Rox","Day","SB+","-","15.81%","Meteorite Snacker",3619
"Fort Rox","Day","SB+","-","2.43%","Meteorite Mover",3619
"Fort Rox","Day","Crescent","-","24.26%","Meteorite Miner",1529
"Fort Rox","Day","Crescent","-","24.00%","Mischievous Meteorite Miner",1529
"Fort Rox","Day","Crescent","-","20.08%","Meteorite Snacker",1529
"Fort Rox","Day","Crescent","-","16.35%","Hardworking Hauler",1529
"Fort Rox","Day","Crescent","-","10.46%","Meteorite Mover",1529
"Fort Rox","Day","Crescent","-","4.84%","Mining Materials Manager",1529
"Fort Rox","Day","Moon","-","29.23%","Meteorite Snacker",715
"Fort Rox","Day","Moon","-","23.50%","Mischievous Meteorite Miner",715
"Fort Rox","Day","Moon","-","22.80%","Meteorite Miner",715
"Fort Rox","Day","Moon","-","11.75%","Meteorite Mover",715
"Fort Rox","Day","Moon","-","8.11%","Hardworking Hauler",715
"Fort Rox","Day","Moon","-","4.62%","Mining Materials Manager",715
"Fort Rox","Twilight","Gouda","-","27.65%","Battering Ram",1168
"Fort Rox","Twilight","Gouda","-","17.12%","Werehauler",1168
"Fort Rox","Twilight","Gouda","-","15.41%","Mischievous Wereminer",1168
"Fort Rox","Twilight","Gouda","-","13.18%","Nightmancer",1168
"Fort Rox","Twilight","Gouda","-","12.41%","Reveling Lycanthrope",1168
"Fort Rox","Twilight","Gouda","-","8.30%","Wereminer",1168
"Fort Rox","Twilight","Gouda","-","5.91%","Alpha Weremouse",1168
"Fort Rox","Twilight","SB+","-","20.64%","Battering Ram",218
"Fort Rox","Twilight","SB+","-","16.51%","Werehauler",218
"Fort Rox","Twilight","SB+","-","14.22%","Mischievous Wereminer",218
"Fort Rox","Twilight","SB+","-","12.39%","Nightmancer",218
"Fort Rox","Twilight","SB+","-","12.39%","Alpha Weremouse",218
"Fort Rox","Twilight","SB+","-","11.47%","Reveling Lycanthrope",218
"Fort Rox","Twilight","SB+","-","9.63%","Wereminer",218
"Fort Rox","Twilight","SB+","-","2.75%","Night Shift Materials Manager",218
"Fort Rox","Twilight","Crescent","-","22.97%","Werehauler",34551
"Fort Rox","Twilight","Crescent","-","18.93%","Alpha Weremouse",34551
"Fort Rox","Twilight","Crescent","-","15.67%","Reveling Lycanthrope",34551
"Fort Rox","Twilight","Crescent","-","14.65%","Wereminer",34551
"Fort Rox","Twilight","Crescent","-","14.60%","Mischievous Wereminer",34551
"Fort Rox","Twilight","Crescent","-","7.88%","Night Shift Materials Manager",34551
"Fort Rox","Twilight","Crescent","-","5.31%","Nightmancer",34551
"Fort Rox","Twilight","Moon","-","20.54%","Mischievous Wereminer",10126
"Fort Rox","Twilight","Moon","-","18.43%","Alpha Weremouse",10126
"Fort Rox","Twilight","Moon","-","16.32%","Wereminer",10126
"Fort Rox","Twilight","Moon","-","16.18%","Werehauler",10126
"Fort Rox","Twilight","Moon","-","13.59%","Reveling Lycanthrope",10126
"Fort Rox","Twilight","Moon","-","9.95%","Night Shift Materials Manager",10126
"Fort Rox","Twilight","Moon","-","4.99%","Nightmancer",10126
"Fort Rox","Midnight","Gouda","-","26.69%","Battering Ram",236
"Fort Rox","Midnight","Gouda","-","17.37%","Werehauler",236
"Fort Rox","Midnight","Gouda","-","15.25%","Nightmancer",236
"Fort Rox","Midnight","Gouda","-","9.75%","Alpha Weremouse",236
"Fort Rox","Midnight","Gouda","-","7.20%","Hypnotized Gunslinger",236
"Fort Rox","Midnight","Gouda","-","6.36%","Mischievous Wereminer",236
"Fort Rox","Midnight","Gouda","-","5.51%","Night Watcher",236
"Fort Rox","Midnight","Gouda","-","4.24%","Wereminer",236
"Fort Rox","Midnight","Gouda","-","2.97%","Meteorite Golem",236
"Fort Rox","Midnight","Gouda","-","2.12%","Arcane Summoner",236
"Fort Rox","Midnight","Gouda","-","1.27%","Wealthy Werewarrior",236
"Fort Rox","Midnight","Gouda","-","1.27%","Reveling Lycanthrope",236
"Fort Rox","Midnight","Crescent","-","13.95%","Alpha Weremouse",21169
"Fort Rox","Midnight","Crescent","-","13.20%","Werehauler",21169
"Fort Rox","Midnight","Crescent","-","11.47%","Nightmancer",21169
"Fort Rox","Midnight","Crescent","-","10.18%","Mischievous Wereminer",21169
"Fort Rox","Midnight","Crescent","-","9.74%","Wealthy Werewarrior",21169
"Fort Rox","Midnight","Crescent","-","9.03%","Wereminer",21169
"Fort Rox","Midnight","Crescent","-","7.89%","Night Shift Materials Manager",21169
"Fort Rox","Midnight","Crescent","-","5.73%","Hypnotized Gunslinger",21169
"Fort Rox","Midnight","Crescent","-","5.60%","Reveling Lycanthrope",21169
"Fort Rox","Midnight","Crescent","-","4.70%","Night Watcher",21169
"Fort Rox","Midnight","Crescent","-","4.65%","Arcane Summoner",21169
"Fort Rox","Midnight","Crescent","-","3.86%","Meteorite Golem",21169
"Fort Rox","Midnight","Moon","-","18.50%","Alpha Weremouse",6466
"Fort Rox","Midnight","Moon","-","11.12%","Mischievous Wereminer",6466
"Fort Rox","Midnight","Moon","-","10.18%","Nightmancer",6466
"Fort Rox","Midnight","Moon","-","10.15%","Wereminer",6466
"Fort Rox","Midnight","Moon","-","9.98%","Night Shift Materials Manager",6466
"Fort Rox","Midnight","Moon","-","9.19%","Wealthy Werewarrior",6466
"Fort Rox","Midnight","Moon","-","6.62%","Werehauler",6466
"Fort Rox","Midnight","Moon","-","5.66%","Reveling Lycanthrope",6466
"Fort Rox","Midnight","Moon","-","5.24%","Hypnotized Gunslinger",6466
"Fort Rox","Midnight","Moon","-","4.53%","Meteorite Golem",6466
"Fort Rox","Midnight","Moon","-","4.50%","Night Watcher",6466
"Fort Rox","Midnight","Moon","-","4.35%","Arcane Summoner",6466
"Fort Rox","Pitch","Crescent","-","13.55%","Hypnotized Gunslinger",6936
"Fort Rox","Pitch","Crescent","-","10.19%","Nightmancer",6936
"Fort Rox","Pitch","Crescent","-","10.11%","Wealthy Werewarrior",6936
"Fort Rox","Pitch","Crescent","-","8.71%","Nightfire",6936
"Fort Rox","Pitch","Crescent","-","7.77%","Night Shift Materials Manager",6936
"Fort Rox","Pitch","Crescent","-","6.96%","Alpha Weremouse",6936
"Fort Rox","Pitch","Crescent","-","5.98%","Meteorite Golem",6936
"Fort Rox","Pitch","Crescent","-","5.87%","Werehauler",6936
"Fort Rox","Pitch","Crescent","-","5.32%","Arcane Summoner",6936
"Fort Rox","Pitch","Crescent","-","5.16%","Wereminer",6936
"Fort Rox","Pitch","Crescent","-","4.97%","Night Watcher",6936
"Fort Rox","Pitch","Crescent","-","4.47%","Cursed Taskmaster",6936
"Fort Rox","Pitch","Crescent","-","4.14%","Reveling Lycanthrope",6936
"Fort Rox","Pitch","Crescent","-","3.62%","Mischievous Wereminer",6936
"Fort Rox","Pitch","Crescent","-","3.17%","Meteorite Mystic",6936
"Fort Rox","Pitch","Moon","-","15.65%","Hypnotized Gunslinger",2639
"Fort Rox","Pitch","Moon","-","10.34%","Night Shift Materials Manager",2639
"Fort Rox","Pitch","Moon","-","10.27%","Wealthy Werewarrior",2639
"Fort Rox","Pitch","Moon","-","8.56%","Nightmancer",2639
"Fort Rox","Pitch","Moon","-","7.24%","Alpha Weremouse",2639
"Fort Rox","Pitch","Moon","-","6.67%","Meteorite Golem",2639
"Fort Rox","Pitch","Moon","-","6.14%","Wereminer",2639
"Fort Rox","Pitch","Moon","-","5.65%","Night Watcher",2639
"Fort Rox","Pitch","Moon","-","5.15%","Cursed Taskmaster",2639
"Fort Rox","Pitch","Moon","-","4.77%","Nightfire",2639
"Fort Rox","Pitch","Moon","-","4.66%","Arcane Summoner",2639
"Fort Rox","Pitch","Moon","-","4.40%","Meteorite Mystic",2639
"Fort Rox","Pitch","Moon","-","3.83%","Mischievous Wereminer",2639
"Fort Rox","Pitch","Moon","-","3.56%","Reveling Lycanthrope",2639
"Fort Rox","Pitch","Moon","-","3.11%","Werehauler",2639
"Fort Rox","Utter Darkness","Gouda","-","67.89%","Battering Ram",109
"Fort Rox","Utter Darkness","Gouda","-","4.59%","Nightfire",109
