"Location","Phase","Cheese","Charm","Attraction Rate","Mouse","Sample Size"
"Gnawnian Express Station","Supply Depot (No Supply Rush)","SB+","Supply Schedule Charm","1.83%","Tonic Salesman",382
"Gnawnian Express Station","Supply Depot (No Supply Rush)","SB+","Supply Schedule Charm","1.83%","Bartender",382
"Gnawnian Express Station","Supply Depot (No Supply Rush)","SB+","Supply Schedule Charm","0.79%","Parlour Player",382
"Gnawnian Express Station","Supply Depot (No Supply Rush)","Gouda","Supply Schedule Charm","21.54%","Cute Crate Carrier",469
"Gnawnian Express Station","Supply Depot (No Supply Rush)","Gouda","Supply Schedule Charm","18.98%","Crate Camo",469
"Gnawnian Express Station","Supply Depot (No Supply Rush)","Gouda","Supply Schedule Charm","11.30%","Warehouse Manager",469
"Gnawnian Express Station","Supply Depot (No Supply Rush)","Gouda","Supply Schedule Charm","7.25%","Mysterious Traveller",469
"Gnawnian Express Station","Supply Depot (No Supply Rush)","Gouda","Supply Schedule Charm","6.18%","Travelling Barber",469
"Gnawnian Express Station","Supply Depot (No Supply Rush)","Gouda","Supply Schedule Charm","5.97%","Angry Train Staff",469
"Gnawnian Express Station","Supply Depot (No Supply Rush)","Gouda","Supply Schedule Charm","5.76%","Train Conductor",469
"Gnawnian Express Station","Supply Depot (No Supply Rush)","Gouda","Supply Schedule Charm","5.12%","Passenger",469
"Gnawnian Express Station","Supply Depot (No Supply Rush)","Gouda","Supply Schedule Charm","3.84%","Photographer",469
"Gnawnian Express Station","Supply Depot (No Supply Rush)","Gouda","Supply Schedule Charm","3.20%","Parlour Player",469
"Gnawnian Express Station","Supply Depot (No Supply Rush)","Gouda","Supply Schedule Charm","2.99%","Tonic Salesman",469
"Gnawnian Express Station","Supply Depot (No Supply Rush)","Gouda","Supply Schedule Charm","2.99%","Upper Class Lady",469
"Gnawnian Express Station","Supply Depot (No Supply Rush)","Gouda","Supply Schedule Charm","1.71%","Farrier",469
"Gnawnian Express Station","Supply Depot (No Supply Rush)","Gouda","Supply Schedule Charm","1.28%","Stuffy Banker",469
"Gnawnian Express Station","Supply Depot (No Supply Rush)","Gouda","Supply Schedule Charm","1.28%","Bartender",469
"Gnawnian Express Station","Supply Depot (No Supply Rush)","Gouda","Supply Schedule Charm","0.64%","Stowaway",469
"Gnawnian Express Station","Supply Depot (Supply Rush)","SB+","-","43.98%","Supply Hoarder",216
"Gnawnian Express Station","Supply Depot (Supply Rush)","SB+","-","8.80%","Cute Crate Carrier",216
"Gnawnian Express Station","Supply Depot (Supply Rush)","SB+","-","6.94%","Train Conductor",216
"Gnawnian Express Station","Supply Depot (Supply Rush)","SB+","-","5.56%","Crate Camo",216
"Gnawnian Express Station","Supply Depot (Supply Rush)","SB+","-","5.56%","Mysterious Traveller",216
"Gnawnian Express Station","Supply Depot (Supply Rush)","SB+","-","4.63%","Travelling Barber",216
"Gnawnian Express Station","Supply Depot (Supply Rush)","SB+","-","4.63%","Angry Train Staff",216
"Gnawnian Express Station","Supply Depot (Supply Rush)","SB+","-","4.17%","Stuffy Banker",216
"Gnawnian Express Station","Supply Depot (Supply Rush)","SB+","-","3.70%","Passenger",216
"Gnawnian Express Station","Supply Depot (Supply Rush)","SB+","-","3.24%","Photographer",216
"Gnawnian Express Station","Supply Depot (Supply Rush)","SB+","-","2.78%","Parlour Player",216
"Gnawnian Express Station","Supply Depot (Supply Rush)","SB+","-","2.31%","Stowaway",216
"Gnawnian Express Station","Supply Depot (Supply Rush)","SB+","-","1.85%","Farrier",216
"Gnawnian Express Station","Supply Depot (Supply Rush)","SB+","-","1.39%","Bartender",216
"Gnawnian Express Station","Supply Depot (Supply Rush)","SB+","-","0.46%","Upper Class Lady",216
"Gnawnian Express Station","Supply Depot (Supply Rush)","Gouda","-","50.80%","Supply Hoarder",250
"Gnawnian Express Station","Supply Depot (Supply Rush)","Gouda","-","9.60%","Cute Crate Carrier",250
"Gnawnian Express Station","Supply Depot (Supply Rush)","Gouda","-","9.60%","Crate Camo",250
