"Location","Phase","Cheese","Charm","Attraction Rate","Mouse","Sample Size"
"Cantera Quarry","-","Bland Queso","-","60.82%","Chip Chiseler",8569
"Cantera Quarry","-","Bland Queso","-","39.18%","Tiny Toppler",8569
"Cantera Quarry","-","Mild Queso","-","50.07%","Ore Chipper",11279
"Cantera Quarry","-","Mild Queso","-","49.93%","Rubble Rummager",11279
"Cantera Quarry","-","Medium Queso","-","60.75%","Nachore Golem",12524
"Cantera Quarry","-","Medium Queso","-","39.25%","Rubble Rouser",12524
"Cantera Quarry","-","Hot Queso","-","50.77%","Grampa Golem",18683
"Cantera Quarry","-","Hot Queso","-","49.23%","Fiery Crusher",18683
"Cantera Quarry","-","Flamin' Queso","-","100.00%","Nachous, The Molten",7921
