"Location","Phase","Cheese","Charm","Attraction Rate","Mouse","Sample Size"
"Prickly Plains","-","Bland Queso","-","60.59%","Spice Seer",53227
"Prickly Plains","-","Bland Queso","-","39.41%","Old Spice Collector",53227
"Prickly Plains","-","Mild Queso","-","50.51%","Spice Farmer",52152
"Prickly Plains","-","Mild Queso","-","49.49%","Granny Spice",52152
"Prickly Plains","-","Medium Queso","-","56.24%","Spice Finder",44074
"Prickly Plains","-","Medium Queso","-","43.76%","Spice Sovereign",44074
"Prickly Plains","-","Hot Queso","-","58.63%","Spice Reaper",22405
"Prickly Plains","-","Hot Queso","-","41.37%","Spice Raider",22405
"Prickly Plains","-","Flamin' Queso","-","100.00%","Inferna, The Engulfed",8321
